reg_name,population
Dodoma,3085625
Arusha,2356255
Kilimanjaro,1861934
Tanga,2615597
Morogoro,3197104
Pwani,2024947
Dar es Salaam,5383728
Lindi,1194028
Mtwara,1634947
Ruvuma,1848794
Iringa,1192728
Mbeya,2343754
Singida,2008058
Tabora,3391679
Rukwa,1540519
Kigoma,2470967
Shinyanga,2241299
Kagera,2989299
Mwanza,3699872
Mara,2372015
Manyara,1892502
Njombe,889946
Katavi,1152958
Simiyu,2140497
Geita,2977608
Songwe,1344687
Kaskazini Unguja,257290
Kusini Unguja,195873
Mjini Magharibi,893169
Kaskazini Pemba,272091
Kusini Pemba,271350
