region_name,district_name,ward_name,ward_population
Arusha,Arumeru,Akheri,17236
Arusha,Arumeru,Ambureni,16971
Arusha,Arumeru,Bangata,10166
Arusha,Arumeru,Bwawani,14025
Arusha,Arumeru,Ilboru,9367
Arusha,Arumeru,Ilkiding'a,15218
Arusha,Arumeru,Imbaseni,29770
Arusha,Arumeru,Kikatiti,21611
Arusha,Arumeru,Kikwe,10965
Arusha,Arumeru,Kimnyak,16332
Arusha,Arumeru,King'ori,13034
Arusha,Arumeru,Kiranyi,40158
Arusha,Arumeru,Kisongo,12519
Arusha,Arumeru,Kiutu,22874
Arusha,Arumeru,Laroi,7096
Arusha,Arumeru,Leguruki,9528
Arusha,Arumeru,Lemanyata,14672
Arusha,Arumeru,Lengijave,15027
Arusha,Arumeru,Majengo,6570
Arusha,Arumeru,Maji ya Chai,19779
Arusha,Arumeru,Makiba,10294
Arusha,Arumeru,Malula,12526
Arusha,Arumeru,Maroroni,16113
Arusha,Arumeru,Maruvango,9796
Arusha,Arumeru,Mateves,23287
Arusha,Arumeru,Mbuguni,10026
Arusha,Arumeru,Mlangarini,19291
Arusha,Arumeru,Moivo,25110
Arusha,Arumeru,Musa,13481
Arusha,Arumeru,Mwandet,22650
Arusha,Arumeru,Nduruma,14490
Arusha,Arumeru,Ngabobo,4184
Arusha,Arumeru,Ngarenanyuki,10078
Arusha,Arumeru,Nkoanekoli,4623
Arusha,Arumeru,Nkoanrua,8679
Arusha,Arumeru,Nkoaranga,10229
Arusha,Arumeru,Nkoarisambu,6892
Arusha,Arumeru,Oldonyosambu,13003
Arusha,Arumeru,Oldonyowas,11905
Arusha,Arumeru,Oljoro,9100
Arusha,Arumeru,Olmotonyi,13345
Arusha,Arumeru,Oloirien,29477
Arusha,Arumeru,Olturoto,18899
Arusha,Arumeru,Olturumet,13869
Arusha,Arumeru,Poli,11399
Arusha,Arumeru,Sambasha,12739
Arusha,Arumeru,Seela Sing'isi,11756
Arusha,Arumeru,Shambarai Burka,7031
Arusha,Arumeru,Sokon II,20213
Arusha,Arumeru,Songoro,10813
Arusha,Arumeru,Tarakwa,11205
Arusha,Arumeru,Usa River,29938
Arusha,Arumeru,Uwiro,11762
Arusha,Arusha,Baraa,18331
Arusha,Arusha,Daraja II,16555
Arusha,Arusha,Elerai,19502
Arusha,Arusha,Engutoto,12759
Arusha,Arusha,Kaloleni,7425
Arusha,Arusha,Kati,2547
Arusha,Arusha,Kimandolu,28760
Arusha,Arusha,Lemara,26884
Arusha,Arusha,Levolosi,6317
Arusha,Arusha,Moivaro,12215
Arusha,Arusha,Moshono,26890
Arusha,Arusha,Muriet,60209
Arusha,Arusha,Ngarenaro,8812
Arusha,Arusha,Olasiti,53557
Arusha,Arusha,Olmoti,14132
Arusha,Arusha,Oloirien,22926
Arusha,Arusha,Osunyai Jr,29507
Arusha,Arusha,Sakina,19172
Arusha,Arusha,Sekei,7707
Arusha,Arusha,Sinoni,58542
Arusha,Arusha,Sokon I,93037
Arusha,Arusha,Sombetini,28111
Arusha,Arusha,Terrat,20524
Arusha,Arusha,Themi,9204
Arusha,Arusha,Unga Ltd,14006
Arusha,Karatu,Baray,31472
Arusha,Karatu,Buger,10124
Arusha,Karatu,Daa,13561
Arusha,Karatu,Endabash,17964
Arusha,Karatu,Endamaghang,5742
Arusha,Karatu,Endamarariek,29342
Arusha,Karatu,Ganako,20350
Arusha,Karatu,Kansay,15226
Arusha,Karatu,Karatu,29825
Arusha,Karatu,Mang'ola,19982
Arusha,Karatu,Mbulumbulu,22042
Arusha,Karatu,Oldean,6984
Arusha,Karatu,Qurus,28576
Arusha,Karatu,Rhotia,29264
Arusha,Longido,Elang'atadapash,6528
Arusha,Longido,Engarenaibor,15227
Arusha,Longido,Engikaret,8298
Arusha,Longido,Gelai Lumbwa,9932
Arusha,Longido,Gelai Meirugoi,12474
Arusha,Longido,Ilorienito,6932
Arusha,Longido,Kamwanga,13053
Arusha,Longido,Ketumbeine,10203
Arusha,Longido,Kimokouwa,14435
Arusha,Longido,Longido,3948
Arusha,Longido,Matale,8340
Arusha,Longido,Mundarara,11442
Arusha,Longido,Namanga,12340
Arusha,Longido,Noondoto,5808
Arusha,Longido,Olmolog,12536
Arusha,Longido,Orbomba,11060
Arusha,Longido,Sinya,5097
Arusha,Longido,Tingatinga,8262
Arusha,Monduli,Engaruka,17187
Arusha,Monduli,Engutoto,9643
Arusha,Monduli,Esilalei,29020
Arusha,Monduli,Lashaine,5132
Arusha,Monduli,Lemooti,7474
Arusha,Monduli,Lepurko,12988
Arusha,Monduli,Lolkisale,9466
Arusha,Monduli,Majengo,9568
Arusha,Monduli,Makuyuni,14803
Arusha,Monduli,Meserani,10771
Arusha,Monduli,Mfereji,8221
Arusha,Monduli,Migungani,7731
Arusha,Monduli,Moita,14666
Arusha,Monduli,Monduli Juu,15051
Arusha,Monduli,Monduli Mjini,7608
Arusha,Monduli,Mswakini,7803
Arusha,Monduli,Mto wa Mbu,7995
Arusha,Monduli,Naalarami,4550
Arusha,Monduli,Selela,14275
Arusha,Monduli,Sepeko,13633
Arusha,Ngorongoro,Alailelai,11526
Arusha,Ngorongoro,Alaitolei,4496
Arusha,Ngorongoro,Arash,14024
Arusha,Ngorongoro,Digodigo,4994
Arusha,Ngorongoro,Enduleni,14421
Arusha,Ngorongoro,Engaresero,7697
Arusha,Ngorongoro,Enguserosambu,13555
Arusha,Ngorongoro,Eyasi,2800
Arusha,Ngorongoro,Kakesio,8268
Arusha,Ngorongoro,Kirangi,8061
Arusha,Ngorongoro,Maalon,10842
Arusha,Ngorongoro,Malambo,12076
Arusha,Ngorongoro,Misigiyo,6989
Arusha,Ngorongoro,Nainokanoka,15725
Arusha,Ngorongoro,Naiyobi,13161
Arusha,Ngorongoro,Ngoile,5384
Arusha,Ngorongoro,Ngorongoro,10293
Arusha,Ngorongoro,Olbalbal,7730
Arusha,Ngorongoro,Oldonyosambu,5431
Arusha,Ngorongoro,Oloipiri,9917
Arusha,Ngorongoro,Oloirien/Magaiduru,10898
Arusha,Ngorongoro,Ololosokwan,16503
Arusha,Ngorongoro,Orgosorok,11161
Arusha,Ngorongoro,Pinyinyi,7689
Arusha,Ngorongoro,Piyaya,6203
Arusha,Ngorongoro,Sale,6576
Arusha,Ngorongoro,Samunge,10230
Arusha,Ngorongoro,Soitsambu,16899
Dar es Salaam,Ilala,Bonyokwa,26516
Dar es Salaam,Ilala,Buguruni,47278
Dar es Salaam,Ilala,Buyuni,86484
Dar es Salaam,Ilala,Chanika,75271
Dar es Salaam,Ilala,Gerezani,5786
Dar es Salaam,Ilala,Gongolamboto,63043
Dar es Salaam,Ilala,Ilala,23787
Dar es Salaam,Ilala,Jangwani,13793
Dar es Salaam,Ilala,Kariakoo,10246
Dar es Salaam,Ilala,Kimanga,50340
Dar es Salaam,Ilala,Kinyerezi,62480
Dar es Salaam,Ilala,Kipawa,72577
Dar es Salaam,Ilala,Kipunguni,45174
Dar es Salaam,Ilala,Kisukuru,40279
Dar es Salaam,Ilala,Kisutu,6364
Dar es Salaam,Ilala,Kitunda,42259
Dar es Salaam,Ilala,Kivukoni,4045
Dar es Salaam,Ilala,Kivule,88273
Dar es Salaam,Ilala,Kiwalani,40049
Dar es Salaam,Ilala,Liwiti,40399
Dar es Salaam,Ilala,Majohe,115118
Dar es Salaam,Ilala,Mchafukoge,7999
Dar es Salaam,Ilala,Mchikichini,19076
Dar es Salaam,Ilala,Minazi Mirefu,27635
Dar es Salaam,Ilala,Mnyamani,37516
Dar es Salaam,Ilala,Msongola,94923
Dar es Salaam,Ilala,Mzinga,45989
Dar es Salaam,Ilala,Pugu,60369
Dar es Salaam,Ilala,Pugu Station,47436
Dar es Salaam,Ilala,Segerea,44831
Dar es Salaam,Ilala,Tabata,59555
Dar es Salaam,Ilala,Ukonga,84184
Dar es Salaam,Ilala,Upanga Magharibi,11845
Dar es Salaam,Ilala,Upanga Mashariki,9317
Dar es Salaam,Ilala,Vingunguti,66342
Dar es Salaam,Ilala,Zingiziwa,73334
Dar es Salaam,Kigamboni,Kibada,28188
Dar es Salaam,Kigamboni,Kigamboni,24810
Dar es Salaam,Kigamboni,Kimbiji,10729
Dar es Salaam,Kigamboni,Kisarawe II,31160
Dar es Salaam,Kigamboni,Mjimwema,54859
Dar es Salaam,Kigamboni,Pembamnazi,13323
Dar es Salaam,Kigamboni,Somangila,52187
Dar es Salaam,Kigamboni,Tungi,30785
Dar es Salaam,Kigamboni,Vijibweni,71861
Dar es Salaam,Kinondoni,Bunju,92587
Dar es Salaam,Kinondoni,Hananasif,27615
Dar es Salaam,Kinondoni,Kawe,67675
Dar es Salaam,Kinondoni,Kigogo,45291
Dar es Salaam,Kinondoni,Kijitonyama,39932
Dar es Salaam,Kinondoni,Kinondoni,17337
Dar es Salaam,Kinondoni,Kunduchi,89814
Dar es Salaam,Kinondoni,Mabwepande,66794
Dar es Salaam,Kinondoni,Magomeni,15241
Dar es Salaam,Kinondoni,Makongo,35567
Dar es Salaam,Kinondoni,Makumbusho,52347
Dar es Salaam,Kinondoni,Mbezi Juu,51485
Dar es Salaam,Kinondoni,Mbweni,25970
Dar es Salaam,Kinondoni,Mikocheni,25433
Dar es Salaam,Kinondoni,Msasani,40406
Dar es Salaam,Kinondoni,Mwananyamala,38645
Dar es Salaam,Kinondoni,Mzimuni,20940
Dar es Salaam,Kinondoni,Ndugumbi,32862
Dar es Salaam,Kinondoni,Tandale,43374
Dar es Salaam,Kinondoni,Wazo,153013
Dar es Salaam,Temeke,Azimio,63836
Dar es Salaam,Temeke,Buza,71190
Dar es Salaam,Temeke,Chamazi,203327
Dar es Salaam,Temeke,Chang'ombe,14418
Dar es Salaam,Temeke,Charambe,38587
